Beroep,2009,2010,2011,2012,2013,2014,2015,2016,2017
Directeurs van grote ondernemingen,8214,8329,8610,8948,9018,9253,9285,9578,10124
Managers op het gebied van zakelijke dienstverlening en op administratief gebied,6313,6357,6527,6623,6658,6734,6756,6953,7352
"Managers op het gebied van verkoop, marketing, reclame, public relations en research en development",5574,5665,5841,6037,6091,6228,6247,6439,6806
"Managers in de industrie, de delfstoffenwinning, de bouwnijverheid en de logistiek",5463,5541,5702,5898,5955,6069,6089,6282,6640
Managers op het gebied van informatie en communicatietechnologie (ICT),6529,6573,6725,6821,6863,6925,6940,7160,7566
Hotel- en restaurantmanagers,3340,3362,3476,3602,3624,3715,3726,3833,4047
Managers in de detail- en groothandel,4463,4493,4630,4701,4720,4776,4791,4942,5224
"Natuurkundigen, scheikundigen en dergelijke",4469,4583,4632,4763,4840,4966,5029,5217,5357
"Wiskundigen, actuarissen en statistici",4783,4920,4958,5000,5067,5154,5221,5405,5544
Biowetenschappers,4102,4216,4268,4338,4378,4441,4496,4652,4770
Ingenieurs (met uitzondering van elektrotechnische ingenieurs),4324,4464,4522,4631,4704,4776,4833,5009,5137
Ingenieurs op het gebied van de elektrotechnologie,4435,4587,4607,4650,4700,4816,4876,5062,5190
"Architecten, planologen en landmeters",3506,3620,3673,3762,3824,3926,3980,4130,4238
"Account managers, boekhoudkundig kaderpersoneel, financieel analisten en beleggingsadviseurs",4355,4468,4520,4558,4599,4672,4728,4894,5020
Beleidsadviseurs en specialisten op het gebied van human resources,4302,4418,4441,4477,4524,4611,4666,4836,4959
"Specialisten op het gebied van de verkoop, reclame, marketing en public relations",3846,3997,4050,4137,4204,4314,4366,4529,4651
Software- en applicatieontwikkelaars en -analisten,4125,4229,4280,4304,4347,4440,4499,4666,4783
Databank- en netwerkspecialisten,3893,4007,4062,4170,4223,4332,4388,4543,4665
Juristen,4271,4421,4509,4554,4636,4756,4813,4998,5125
"Economen, sociologen, antropologen, historici en psychologen",4220,4347,4359,4388,4436,4555,4616,4791,4912
"Auteurs, journalisten en taalkundigen",3757,3862,3904,3945,3986,4084,4139,4293,4400
Technici op het gebied van natuur- en technische wetenschappen,3388,3439,3523,3566,3597,3652,3711,3774,3805
"Toezichthoudend personeel in de mijnbouw, de industrie en de bouwnijverheid",3404,3476,3597,3646,3675,3705,3768,3833,3868
Technici voor het beheer en de controle van industriële processen,3494,3588,3635,3678,3736,3756,3811,3873,3901
Technici op het gebied van de biowetenschappen,3150,3199,3249,3287,3317,3369,3421,3466,3490
Bestuurders en technici voor schepen en luchtvaartuigen en luchtverkeersleiders,3828,3938,4082,4210,4285,4366,4437,4509,4547
Technici op medisch en farmaceutisch gebied,3011,3093,3187,3240,3299,3340,3394,3452,3485
"Effecten- en vaultahandelaars en -makelaars, adviseurs kredieten en leningen, boekhouders, taxateurs en schade-experts",3322,3381,3458,3515,3561,3591,3647,3702,3731
Handelsvertegenwoordigers en inkopers,3478,3550,3611,3660,3700,3730,3787,3841,3872
"Expediteurs, organisatoren van conferenties en evenementen, arbeidsbemiddelaars en uitzendmedewerkers en makelaars en beheerders van onroerend goed",2893,2966,3057,3118,3148,3199,3254,3300,3325
"Ondersteunend personeel op juridisch, maatschappelijk en cultureel gebied",2671,2735,2845,2917,2962,3005,3057,3106,3133
Technici op het gebied van informatie- en communicatietechnologie en gebruikersondersteuning,3048,3136,3234,3296,3317,3343,3400,3459,3489
"Telecommunicatie-, radio- en televisietechnici",3519,3583,3677,3735,3775,3797,3853,3914,3945
Administratief medewerkers,2790,2831,2919,2991,3024,3032,3076,3093,3156
Loketbedienden en incasseerders,2675,2717,2762,2808,2829,2836,2875,2891,2955
